9/14/2022,-18,Transit
9/15/2022,-17,Transit
9/16/2022,-18,Transit
9/17/2022,-11,Transit
9/18/2022,-10,Transit
9/19/2022,-20,Transit
9/20/2022,-19,Transit
9/21/2022,-19,Transit
9/22/2022,-19,Transit
9/23/2022,-18,Transit
9/24/2022,-12,Transit
9/25/2022,-11,Transit
9/26/2022,-21,Transit
9/27/2022,-20,Transit
9/28/2022,-22,Transit
9/29/2022,-21,Transit
9/30/2022,-20,Transit
10/1/2022,-15,Transit
10/2/2022,-14,Transit
10/3/2022,-21,Transit
10/4/2022,-21,Transit
10/5/2022,-21,Transit
10/6/2022,-17,Transit
10/7/2022,-18,Transit
10/8/2022,-11,Transit
10/9/2022,-10,Transit
10/10/2022,-23,Transit
10/11/2022,-19,Transit
10/12/2022,-20,Transit
10/13/2022,-19,Transit
10/14/2022,-18,Transit
10/15/2022,-11,Transit
8/27/2022,-8,Workplace
8/28/2022,-8,Workplace
8/29/2022,-27,Workplace
8/30/2022,-25,Workplace
8/31/2022,-25,Workplace
9/1/2022,-26,Workplace
9/2/2022,-28,Workplace
9/3/2022,-14,Workplace
9/4/2022,-13,Workplace
9/5/2022,-72,Workplace
9/6/2022,-26,Workplace
9/7/2022,-23,Workplace
9/8/2022,-23,Workplace
9/9/2022,-22,Workplace
9/10/2022,-8,Workplace
9/11/2022,-8,Workplace
9/12/2022,-23,Workplace
9/13/2022,-23,Workplace
9/14/2022,-22,Workplace
9/15/2022,-23,Workplace
9/16/2022,-23,Workplace
9/17/2022,-9,Workplace
9/18/2022,-9,Workplace
9/19/2022,-24,Workplace
9/20/2022,-23,Workplace
9/21/2022,-22,Workplace
9/22/2022,-23,Workplace
9/23/2022,-23,Workplace
9/24/2022,-9,Workplace
9/25/2022,-10,Workplace
9/26/2022,-24,Workplace
9/27/2022,-23,Workplace
9/28/2022,-25,Workplace
9/29/2022,-25,Workplace
9/30/2022,-25,Workplace
10/1/2022,-10,Workplace
10/2/2022,-10,Workplace
10/3/2022,-23,Workplace
10/4/2022,-22,Workplace
10/5/2022,-23,Workplace
10/6/2022,-21,Workplace
10/7/2022,-23,Workplace
10/8/2022,-10,Workplace
10/9/2022,-10,Workplace
10/10/2022,-31,Workplace
10/11/2022,-22,Workplace
10/12/2022,-22,Workplace
10/13/2022,-22,Workplace
10/14/2022,-23,Workplace
10/15/2022,-9,Workplace
